"construct","instruction","subjectID","sum","n","percent"
"ill-being","change","FP001",12,12,100
"ill-being","change","FP002",12,12,100
"ill-being","change","FP003",12,12,100
"ill-being","change","FP004",11,12,91.6666666666667
"ill-being","change","FP005",11,12,91.6666666666667
"ill-being","change","FP006",8,12,66.6666666666667
"ill-being","change","FP007",11,12,91.6666666666667
"ill-being","change","FP008",12,12,100
"ill-being","change","FP009",11,12,91.6666666666667
"ill-being","change","FP010",11,12,91.6666666666667
"ill-being","change","FP011",11,12,91.6666666666667
"ill-being","change","FP012",4,12,33.3333333333333
"ill-being","change","FP013",12,12,100
"ill-being","change","FP014",8,12,66.6666666666667
"ill-being","change","FP015",12,12,100
"ill-being","change","FP016",9,12,75
"ill-being","change","FP017",12,12,100
"ill-being","change","FP018",9,12,75
"ill-being","change","FP019",12,12,100
"ill-being","change","FP020",7,12,58.3333333333333
"ill-being","change","FP021",10,12,83.3333333333333
"ill-being","change","FP022",12,12,100
"ill-being","change","FP023",8,12,66.6666666666667
"ill-being","change","FP024",11,12,91.6666666666667
"ill-being","change","FP025",10,12,83.3333333333333
"ill-being","change","FP026",11,12,91.6666666666667
"ill-being","change","FP027",10,12,83.3333333333333
"ill-being","change","FP028",8,12,66.6666666666667
"ill-being","change","FP029",10,12,83.3333333333333
"ill-being","change","FP030",8,12,66.6666666666667
"ill-being","change","FP031",8,12,66.6666666666667
"ill-being","change","FP032",10,12,83.3333333333333
"ill-being","change","FP033",11,12,91.6666666666667
"ill-being","change","FP034",11,12,91.6666666666667
"ill-being","change","FP035",10,12,83.3333333333333
"ill-being","change","FP036",10,12,83.3333333333333
"ill-being","change","FP037",10,12,83.3333333333333
"ill-being","change","FP038",12,12,100
"ill-being","change","FP039",11,12,91.6666666666667
"ill-being","change","FP040",4,12,33.3333333333333
"ill-being","change","FP041",12,12,100
"ill-being","change","FP042",10,12,83.3333333333333
"ill-being","change","FP043",12,12,100
"ill-being","change","FP044",7,12,58.3333333333333
"ill-being","change","FP045",11,12,91.6666666666667
"ill-being","change","FP046",9,12,75
"ill-being","change","FP047",8,12,66.6666666666667
"ill-being","change","FP048",12,12,100
"ill-being","change","FP049",9,12,75
"ill-being","change","FP050",9,12,75
"ill-being","change","FP051",8,12,66.6666666666667
"ill-being","change","FP052",10,12,83.3333333333333
"ill-being","change","FP053",12,12,100
"ill-being","change","FP054",9,12,75
"ill-being","change","FP055",11,12,91.6666666666667
"ill-being","change","FP056",11,12,91.6666666666667
"ill-being","change","FP058",5,12,41.6666666666667
"ill-being","change","FP059",10,12,83.3333333333333
"ill-being","change","FP060",6,12,50
"ill-being","change","FP061",11,12,91.6666666666667
"ill-being","change","FP062",6,12,50
"ill-being","change","FP063",12,12,100
"ill-being","change","FP064",11,12,91.6666666666667
"ill-being","change","FP065",10,12,83.3333333333333
"ill-being","change","FP066",11,12,91.6666666666667
"ill-being","change","FP067",3,6,50
"ill-being","change","FP068",11,12,91.6666666666667
"ill-being","change","FP069",6,12,50
"ill-being","change","FP070",10,12,83.3333333333333
"ill-being","change","FP071",8,12,66.6666666666667
"ill-being","change","FP072",12,12,100
"ill-being","change","FP074",7,12,58.3333333333333
"ill-being","change","FP075",8,12,66.6666666666667
"ill-being","change","FP076",12,12,100
"ill-being","change","FP077",10,12,83.3333333333333
"ill-being","change","FP078",10,12,83.3333333333333
"ill-being","change","FP079",12,12,100
"ill-being","change","FP080",0,12,0
"ill-being","change","FP081",11,12,91.6666666666667
"ill-being","change","FP082",5,12,41.6666666666667
"ill-being","change","FP084",12,12,100
"ill-being","change","FP085",3,12,25
"ill-being","change","FP086",11,12,91.6666666666667
"ill-being","change","FP087",11,12,91.6666666666667
"ill-being","change","FP088",7,12,58.3333333333333
"ill-being","change","FP089",8,12,66.6666666666667
"ill-being","change","FP090",9,12,75
"ill-being","change","FP091",10,12,83.3333333333333
"ill-being","change","FP092",11,12,91.6666666666667
"ill-being","change","FP093",8,12,66.6666666666667
"ill-being","change","FP094",7,12,58.3333333333333
"ill-being","change","FP095",8,12,66.6666666666667
"ill-being","change","FP096",10,12,83.3333333333333
"ill-being","change","FP097",6,12,50
"ill-being","change","FP098",9,12,75
"ill-being","change","FP100",4,12,33.3333333333333
"ill-being","change","FP101",12,12,100
"ill-being","change","FP102",9,12,75
"ill-being","change","FP103",12,12,100
"ill-being","change","FP104",8,12,66.6666666666667
"ill-being","change","FP106",8,12,66.6666666666667
"ill-being","change","FP107",12,12,100
"ill-being","change","FP109",11,12,91.6666666666667
"ill-being","change","FP110",3,12,25
"ill-being","change","FP111",10,12,83.3333333333333
"ill-being","change","FP112",11,12,91.6666666666667
"ill-being","change","FP113",10,12,83.3333333333333
"ill-being","change","FP114",5,6,83.3333333333333
"ill-being","change","FP115",12,12,100
"ill-being","change","FP119",11,12,91.6666666666667
"ill-being","change","FP120",10,12,83.3333333333333
"ill-being","change","FP121",8,12,66.6666666666667
"ill-being","change","FP122",11,12,91.6666666666667
"ill-being","self","FP001",3,12,25
"ill-being","self","FP002",3,12,25
"ill-being","self","FP003",3,12,25
"ill-being","self","FP004",2,12,16.6666666666667
"ill-being","self","FP005",4,12,33.3333333333333
"ill-being","self","FP006",5,12,41.6666666666667
"ill-being","self","FP007",2,12,16.6666666666667
"ill-being","self","FP008",6,12,50
"ill-being","self","FP009",6,12,50
"ill-being","self","FP010",6,12,50
"ill-being","self","FP011",0,12,0
"ill-being","self","FP012",5,12,41.6666666666667
"ill-being","self","FP013",7,12,58.3333333333333
"ill-being","self","FP014",5,12,41.6666666666667
"ill-being","self","FP015",1,12,8.33333333333333
"ill-being","self","FP016",1,12,8.33333333333333
"ill-being","self","FP017",1,12,8.33333333333333
"ill-being","self","FP018",0,12,0
"ill-being","self","FP019",4,12,33.3333333333333
"ill-being","self","FP020",11,12,91.6666666666667
"ill-being","self","FP021",3,12,25
"ill-being","self","FP022",1,12,8.33333333333333
"ill-being","self","FP023",0,12,0
"ill-being","self","FP024",1,12,8.33333333333333
"ill-being","self","FP025",5,12,41.6666666666667
"ill-being","self","FP026",2,12,16.6666666666667
"ill-being","self","FP027",6,12,50
"ill-being","self","FP028",5,12,41.6666666666667
"ill-being","self","FP029",2,12,16.6666666666667
"ill-being","self","FP030",5,12,41.6666666666667
"ill-being","self","FP031",1,12,8.33333333333333
"ill-being","self","FP032",3,12,25
"ill-being","self","FP033",3,12,25
"ill-being","self","FP034",8,12,66.6666666666667
"ill-being","self","FP035",2,12,16.6666666666667
"ill-being","self","FP036",11,12,91.6666666666667
"ill-being","self","FP037",5,12,41.6666666666667
"ill-being","self","FP038",0,12,0
"ill-being","self","FP039",7,12,58.3333333333333
"ill-being","self","FP040",0,12,0
"ill-being","self","FP041",5,12,41.6666666666667
"ill-being","self","FP042",3,12,25
"ill-being","self","FP043",5,12,41.6666666666667
"ill-being","self","FP044",4,12,33.3333333333333
"ill-being","self","FP045",5,12,41.6666666666667
"ill-being","self","FP046",4,12,33.3333333333333
"ill-being","self","FP047",4,12,33.3333333333333
"ill-being","self","FP048",5,12,41.6666666666667
"ill-being","self","FP049",3,12,25
"ill-being","self","FP050",2,12,16.6666666666667
"ill-being","self","FP051",0,12,0
"ill-being","self","FP052",0,12,0
"ill-being","self","FP053",2,12,16.6666666666667
"ill-being","self","FP054",7,12,58.3333333333333
"ill-being","self","FP055",1,12,8.33333333333333
"ill-being","self","FP056",3,12,25
"ill-being","self","FP058",5,12,41.6666666666667
"ill-being","self","FP059",7,12,58.3333333333333
"ill-being","self","FP060",2,12,16.6666666666667
"ill-being","self","FP061",5,12,41.6666666666667
"ill-being","self","FP062",0,12,0
"ill-being","self","FP063",4,12,33.3333333333333
"ill-being","self","FP064",4,12,33.3333333333333
"ill-being","self","FP065",6,12,50
"ill-being","self","FP066",2,12,16.6666666666667
"ill-being","self","FP067",2,6,33.3333333333333
"ill-being","self","FP068",5,12,41.6666666666667
"ill-being","self","FP069",4,12,33.3333333333333
"ill-being","self","FP070",4,12,33.3333333333333
"ill-being","self","FP071",0,12,0
"ill-being","self","FP072",5,12,41.6666666666667
"ill-being","self","FP074",2,12,16.6666666666667
"ill-being","self","FP075",5,12,41.6666666666667
"ill-being","self","FP076",7,12,58.3333333333333
"ill-being","self","FP077",1,12,8.33333333333333
"ill-being","self","FP078",2,12,16.6666666666667
"ill-being","self","FP079",0,12,0
"ill-being","self","FP080",0,12,0
"ill-being","self","FP081",6,12,50
"ill-being","self","FP082",1,12,8.33333333333333
"ill-being","self","FP084",1,12,8.33333333333333
"ill-being","self","FP085",1,12,8.33333333333333
"ill-being","self","FP086",2,12,16.6666666666667
"ill-being","self","FP087",3,12,25
"ill-being","self","FP088",4,12,33.3333333333333
"ill-being","self","FP089",1,12,8.33333333333333
"ill-being","self","FP090",1,12,8.33333333333333
"ill-being","self","FP091",10,12,83.3333333333333
"ill-being","self","FP092",1,12,8.33333333333333
"ill-being","self","FP093",1,12,8.33333333333333
"ill-being","self","FP094",0,12,0
"ill-being","self","FP095",5,12,41.6666666666667
"ill-being","self","FP096",5,12,41.6666666666667
"ill-being","self","FP097",7,12,58.3333333333333
"ill-being","self","FP098",0,12,0
"ill-being","self","FP100",6,12,50
"ill-being","self","FP101",5,12,41.6666666666667
"ill-being","self","FP102",8,12,66.6666666666667
"ill-being","self","FP103",3,12,25
"ill-being","self","FP104",0,12,0
"ill-being","self","FP106",6,12,50
"ill-being","self","FP107",4,12,33.3333333333333
"ill-being","self","FP109",5,12,41.6666666666667
"ill-being","self","FP110",5,12,41.6666666666667
"ill-being","self","FP111",3,12,25
"ill-being","self","FP112",4,12,33.3333333333333
"ill-being","self","FP113",9,12,75
"ill-being","self","FP114",2,6,33.3333333333333
"ill-being","self","FP115",2,12,16.6666666666667
"ill-being","self","FP119",4,12,33.3333333333333
"ill-being","self","FP120",0,12,0
"ill-being","self","FP121",7,12,58.3333333333333
"ill-being","self","FP122",0,12,0
"social","change","FP001",6,12,50
"social","change","FP002",3,12,25
"social","change","FP003",9,12,75
"social","change","FP004",8,12,66.6666666666667
"social","change","FP005",7,12,58.3333333333333
"social","change","FP006",8,12,66.6666666666667
"social","change","FP007",8,12,66.6666666666667
"social","change","FP008",6,12,50
"social","change","FP009",7,12,58.3333333333333
"social","change","FP010",9,12,75
"social","change","FP011",8,12,66.6666666666667
"social","change","FP012",9,12,75
"social","change","FP013",10,12,83.3333333333333
"social","change","FP014",8,12,66.6666666666667
"social","change","FP015",9,12,75
"social","change","FP016",10,12,83.3333333333333
"social","change","FP017",4,12,33.3333333333333
"social","change","FP018",7,12,58.3333333333333
"social","change","FP019",9,12,75
"social","change","FP020",10,12,83.3333333333333
"social","change","FP021",3,12,25
"social","change","FP022",8,12,66.6666666666667
"social","change","FP023",10,12,83.3333333333333
"social","change","FP024",7,12,58.3333333333333
"social","change","FP025",9,12,75
"social","change","FP026",9,12,75
"social","change","FP027",5,12,41.6666666666667
"social","change","FP028",9,12,75
"social","change","FP029",9,12,75
"social","change","FP030",4,12,33.3333333333333
"social","change","FP031",8,12,66.6666666666667
"social","change","FP032",8,12,66.6666666666667
"social","change","FP033",10,12,83.3333333333333
"social","change","FP034",6,12,50
"social","change","FP035",8,12,66.6666666666667
"social","change","FP036",5,12,41.6666666666667
"social","change","FP037",10,12,83.3333333333333
"social","change","FP038",10,12,83.3333333333333
"social","change","FP039",9,12,75
"social","change","FP040",12,12,100
"social","change","FP041",8,12,66.6666666666667
"social","change","FP042",9,12,75
"social","change","FP043",9,12,75
"social","change","FP044",10,12,83.3333333333333
"social","change","FP045",7,12,58.3333333333333
"social","change","FP046",9,12,75
"social","change","FP047",5,12,41.6666666666667
"social","change","FP048",8,12,66.6666666666667
"social","change","FP049",7,12,58.3333333333333
"social","change","FP050",6,12,50
"social","change","FP051",6,12,50
"social","change","FP052",7,12,58.3333333333333
"social","change","FP053",9,12,75
"social","change","FP054",9,12,75
"social","change","FP055",8,12,66.6666666666667
"social","change","FP056",4,12,33.3333333333333
"social","change","FP058",7,12,58.3333333333333
"social","change","FP059",10,12,83.3333333333333
"social","change","FP060",7,12,58.3333333333333
"social","change","FP061",10,12,83.3333333333333
"social","change","FP062",9,12,75
"social","change","FP063",10,12,83.3333333333333
"social","change","FP064",7,12,58.3333333333333
"social","change","FP065",9,12,75
"social","change","FP066",10,12,83.3333333333333
"social","change","FP067",2,6,33.3333333333333
"social","change","FP068",10,12,83.3333333333333
"social","change","FP069",9,12,75
"social","change","FP070",9,12,75
"social","change","FP071",10,12,83.3333333333333
"social","change","FP072",10,12,83.3333333333333
"social","change","FP074",6,12,50
"social","change","FP075",9,12,75
"social","change","FP076",9,12,75
"social","change","FP077",9,12,75
"social","change","FP078",7,12,58.3333333333333
"social","change","FP079",5,12,41.6666666666667
"social","change","FP080",0,12,0
"social","change","FP081",9,12,75
"social","change","FP082",4,12,33.3333333333333
"social","change","FP084",9,12,75
"social","change","FP085",3,12,25
"social","change","FP086",7,12,58.3333333333333
"social","change","FP087",10,12,83.3333333333333
"social","change","FP088",6,12,50
"social","change","FP089",6,12,50
"social","change","FP090",8,12,66.6666666666667
"social","change","FP091",4,12,33.3333333333333
"social","change","FP092",5,12,41.6666666666667
"social","change","FP093",5,12,41.6666666666667
"social","change","FP094",5,12,41.6666666666667
"social","change","FP095",5,12,41.6666666666667
"social","change","FP096",4,12,33.3333333333333
"social","change","FP097",7,12,58.3333333333333
"social","change","FP098",10,12,83.3333333333333
"social","change","FP100",6,12,50
"social","change","FP101",9,12,75
"social","change","FP102",9,12,75
"social","change","FP103",10,12,83.3333333333333
"social","change","FP104",6,12,50
"social","change","FP106",8,12,66.6666666666667
"social","change","FP107",10,12,83.3333333333333
"social","change","FP109",8,12,66.6666666666667
"social","change","FP110",7,12,58.3333333333333
"social","change","FP111",3,12,25
"social","change","FP112",8,12,66.6666666666667
"social","change","FP113",10,12,83.3333333333333
"social","change","FP114",3,6,50
"social","change","FP115",10,12,83.3333333333333
"social","change","FP119",10,12,83.3333333333333
"social","change","FP120",10,12,83.3333333333333
"social","change","FP121",11,12,91.6666666666667
"social","change","FP122",9,12,75
"social","self","FP001",12,12,100
"social","self","FP002",12,12,100
"social","self","FP003",11,12,91.6666666666667
"social","self","FP004",12,12,100
"social","self","FP005",12,12,100
"social","self","FP006",11,12,91.6666666666667
"social","self","FP007",10,12,83.3333333333333
"social","self","FP008",9,12,75
"social","self","FP009",11,12,91.6666666666667
"social","self","FP010",9,12,75
"social","self","FP011",11,12,91.6666666666667
"social","self","FP012",8,12,66.6666666666667
"social","self","FP013",10,12,83.3333333333333
"social","self","FP014",12,12,100
"social","self","FP015",9,12,75
"social","self","FP016",12,12,100
"social","self","FP017",11,12,91.6666666666667
"social","self","FP018",11,12,91.6666666666667
"social","self","FP019",12,12,100
"social","self","FP020",10,12,83.3333333333333
"social","self","FP021",12,12,100
"social","self","FP022",12,12,100
"social","self","FP023",10,12,83.3333333333333
"social","self","FP024",11,12,91.6666666666667
"social","self","FP025",9,12,75
"social","self","FP026",11,12,91.6666666666667
"social","self","FP027",9,12,75
"social","self","FP028",10,12,83.3333333333333
"social","self","FP029",10,12,83.3333333333333
"social","self","FP030",11,12,91.6666666666667
"social","self","FP031",11,12,91.6666666666667
"social","self","FP032",12,12,100
"social","self","FP033",10,12,83.3333333333333
"social","self","FP034",8,12,66.6666666666667
"social","self","FP035",12,12,100
"social","self","FP036",4,12,33.3333333333333
"social","self","FP037",5,12,41.6666666666667
"social","self","FP038",11,12,91.6666666666667
"social","self","FP039",12,12,100
"social","self","FP040",12,12,100
"social","self","FP041",10,12,83.3333333333333
"social","self","FP042",12,12,100
"social","self","FP043",11,12,91.6666666666667
"social","self","FP044",11,12,91.6666666666667
"social","self","FP045",10,12,83.3333333333333
"social","self","FP046",8,12,66.6666666666667
"social","self","FP047",5,12,41.6666666666667
"social","self","FP048",12,12,100
"social","self","FP049",9,12,75
"social","self","FP050",12,12,100
"social","self","FP051",11,12,91.6666666666667
"social","self","FP052",12,12,100
"social","self","FP053",12,12,100
"social","self","FP054",8,12,66.6666666666667
"social","self","FP055",11,12,91.6666666666667
"social","self","FP056",12,12,100
"social","self","FP058",12,12,100
"social","self","FP059",11,12,91.6666666666667
"social","self","FP060",12,12,100
"social","self","FP061",10,12,83.3333333333333
"social","self","FP062",12,12,100
"social","self","FP063",10,12,83.3333333333333
"social","self","FP064",10,12,83.3333333333333
"social","self","FP065",10,12,83.3333333333333
"social","self","FP066",12,12,100
"social","self","FP067",5,6,83.3333333333333
"social","self","FP068",12,12,100
"social","self","FP069",10,12,83.3333333333333
"social","self","FP070",5,12,41.6666666666667
"social","self","FP071",9,12,75
"social","self","FP072",11,12,91.6666666666667
"social","self","FP074",11,12,91.6666666666667
"social","self","FP075",5,12,41.6666666666667
"social","self","FP076",10,12,83.3333333333333
"social","self","FP077",12,12,100
"social","self","FP078",12,12,100
"social","self","FP079",11,12,91.6666666666667
"social","self","FP080",0,12,0
"social","self","FP081",11,12,91.6666666666667
"social","self","FP082",10,12,83.3333333333333
"social","self","FP084",11,12,91.6666666666667
"social","self","FP085",12,12,100
"social","self","FP086",7,12,58.3333333333333
"social","self","FP087",10,12,83.3333333333333
"social","self","FP088",6,12,50
"social","self","FP089",12,12,100
"social","self","FP090",12,12,100
"social","self","FP091",4,12,33.3333333333333
"social","self","FP092",12,12,100
"social","self","FP093",11,12,91.6666666666667
"social","self","FP094",12,12,100
"social","self","FP095",10,12,83.3333333333333
"social","self","FP096",11,12,91.6666666666667
"social","self","FP097",8,12,66.6666666666667
"social","self","FP098",12,12,100
"social","self","FP100",9,12,75
"social","self","FP101",12,12,100
"social","self","FP102",8,12,66.6666666666667
"social","self","FP103",12,12,100
"social","self","FP104",11,12,91.6666666666667
"social","self","FP106",11,12,91.6666666666667
"social","self","FP107",12,12,100
"social","self","FP109",10,12,83.3333333333333
"social","self","FP110",11,12,91.6666666666667
"social","self","FP111",11,12,91.6666666666667
"social","self","FP112",12,12,100
"social","self","FP113",8,12,66.6666666666667
"social","self","FP114",6,6,100
"social","self","FP115",12,12,100
"social","self","FP119",12,12,100
"social","self","FP120",12,12,100
"social","self","FP121",12,12,100
"social","self","FP122",11,12,91.6666666666667
"well-being","change","FP001",10,12,83.3333333333333
"well-being","change","FP002",3,12,25
"well-being","change","FP003",11,12,91.6666666666667
"well-being","change","FP004",9,12,75
"well-being","change","FP005",8,12,66.6666666666667
"well-being","change","FP006",7,12,58.3333333333333
"well-being","change","FP007",11,12,91.6666666666667
"well-being","change","FP008",9,12,75
"well-being","change","FP009",11,12,91.6666666666667
"well-being","change","FP010",12,12,100
"well-being","change","FP011",11,12,91.6666666666667
"well-being","change","FP012",9,12,75
"well-being","change","FP013",12,12,100
"well-being","change","FP014",10,12,83.3333333333333
"well-being","change","FP015",12,12,100
"well-being","change","FP016",11,12,91.6666666666667
"well-being","change","FP017",7,12,58.3333333333333
"well-being","change","FP018",6,12,50
"well-being","change","FP019",9,12,75
"well-being","change","FP020",10,12,83.3333333333333
"well-being","change","FP021",9,12,75
"well-being","change","FP022",9,12,75
"well-being","change","FP023",10,12,83.3333333333333
"well-being","change","FP024",7,12,58.3333333333333
"well-being","change","FP025",9,12,75
"well-being","change","FP026",12,12,100
"well-being","change","FP027",11,12,91.6666666666667
"well-being","change","FP028",7,12,58.3333333333333
"well-being","change","FP029",11,12,91.6666666666667
"well-being","change","FP030",8,12,66.6666666666667
"well-being","change","FP031",10,12,83.3333333333333
"well-being","change","FP032",6,12,50
"well-being","change","FP033",9,12,75
"well-being","change","FP034",11,12,91.6666666666667
"well-being","change","FP035",8,12,66.6666666666667
"well-being","change","FP036",8,12,66.6666666666667
"well-being","change","FP037",11,12,91.6666666666667
"well-being","change","FP038",10,12,83.3333333333333
"well-being","change","FP039",9,12,75
"well-being","change","FP040",10,12,83.3333333333333
"well-being","change","FP041",11,12,91.6666666666667
"well-being","change","FP042",11,12,91.6666666666667
"well-being","change","FP043",12,12,100
"well-being","change","FP044",12,12,100
"well-being","change","FP045",9,12,75
"well-being","change","FP046",6,12,50
"well-being","change","FP047",7,12,58.3333333333333
"well-being","change","FP048",9,12,75
"well-being","change","FP049",8,12,66.6666666666667
"well-being","change","FP050",7,12,58.3333333333333
"well-being","change","FP051",9,12,75
"well-being","change","FP052",7,12,58.3333333333333
"well-being","change","FP053",7,12,58.3333333333333
"well-being","change","FP054",10,12,83.3333333333333
"well-being","change","FP055",7,12,58.3333333333333
"well-being","change","FP056",11,12,91.6666666666667
"well-being","change","FP058",12,12,100
"well-being","change","FP059",12,12,100
"well-being","change","FP060",10,12,83.3333333333333
"well-being","change","FP061",11,12,91.6666666666667
"well-being","change","FP062",5,12,41.6666666666667
"well-being","change","FP063",8,12,66.6666666666667
"well-being","change","FP064",12,12,100
"well-being","change","FP065",12,12,100
"well-being","change","FP066",12,12,100
"well-being","change","FP067",5,6,83.3333333333333
"well-being","change","FP068",11,12,91.6666666666667
"well-being","change","FP069",11,12,91.6666666666667
"well-being","change","FP070",12,12,100
"well-being","change","FP071",5,12,41.6666666666667
"well-being","change","FP072",12,12,100
"well-being","change","FP074",10,12,83.3333333333333
"well-being","change","FP075",10,12,83.3333333333333
"well-being","change","FP076",10,12,83.3333333333333
"well-being","change","FP077",9,12,75
"well-being","change","FP078",8,12,66.6666666666667
"well-being","change","FP079",11,12,91.6666666666667
"well-being","change","FP080",0,12,0
"well-being","change","FP081",10,12,83.3333333333333
"well-being","change","FP082",6,12,50
"well-being","change","FP084",12,12,100
"well-being","change","FP085",4,12,33.3333333333333
"well-being","change","FP086",10,12,83.3333333333333
"well-being","change","FP087",12,12,100
"well-being","change","FP088",7,12,58.3333333333333
"well-being","change","FP089",12,12,100
"well-being","change","FP090",11,12,91.6666666666667
"well-being","change","FP091",6,12,50
"well-being","change","FP092",10,12,83.3333333333333
"well-being","change","FP093",4,12,33.3333333333333
"well-being","change","FP094",2,12,16.6666666666667
"well-being","change","FP095",11,12,91.6666666666667
"well-being","change","FP096",9,12,75
"well-being","change","FP097",10,12,83.3333333333333
"well-being","change","FP098",10,12,83.3333333333333
"well-being","change","FP100",9,12,75
"well-being","change","FP101",11,12,91.6666666666667
"well-being","change","FP102",10,12,83.3333333333333
"well-being","change","FP103",12,12,100
"well-being","change","FP104",10,12,83.3333333333333
"well-being","change","FP106",9,12,75
"well-being","change","FP107",12,12,100
"well-being","change","FP109",10,12,83.3333333333333
"well-being","change","FP110",12,12,100
"well-being","change","FP111",6,12,50
"well-being","change","FP112",10,12,83.3333333333333
"well-being","change","FP113",10,12,83.3333333333333
"well-being","change","FP114",6,6,100
"well-being","change","FP115",11,12,91.6666666666667
"well-being","change","FP119",10,12,83.3333333333333
"well-being","change","FP120",12,12,100
"well-being","change","FP121",7,12,58.3333333333333
"well-being","change","FP122",9,12,75
"well-being","self","FP001",9,12,75
"well-being","self","FP002",12,12,100
"well-being","self","FP003",10,12,83.3333333333333
"well-being","self","FP004",12,12,100
"well-being","self","FP005",11,12,91.6666666666667
"well-being","self","FP006",10,12,83.3333333333333
"well-being","self","FP007",9,12,75
"well-being","self","FP008",11,12,91.6666666666667
"well-being","self","FP009",10,12,83.3333333333333
"well-being","self","FP010",12,12,100
"well-being","self","FP011",12,12,100
"well-being","self","FP012",5,12,41.6666666666667
"well-being","self","FP013",5,12,41.6666666666667
"well-being","self","FP014",9,12,75
"well-being","self","FP015",12,12,100
"well-being","self","FP016",12,12,100
"well-being","self","FP017",10,12,83.3333333333333
"well-being","self","FP018",12,12,100
"well-being","self","FP019",12,12,100
"well-being","self","FP020",10,12,83.3333333333333
"well-being","self","FP021",12,12,100
"well-being","self","FP022",12,12,100
"well-being","self","FP023",12,12,100
"well-being","self","FP024",12,12,100
"well-being","self","FP025",10,12,83.3333333333333
"well-being","self","FP026",12,12,100
"well-being","self","FP027",6,12,50
"well-being","self","FP028",10,12,83.3333333333333
"well-being","self","FP029",12,12,100
"well-being","self","FP030",12,12,100
"well-being","self","FP031",9,12,75
"well-being","self","FP032",12,12,100
"well-being","self","FP033",12,12,100
"well-being","self","FP034",5,12,41.6666666666667
"well-being","self","FP035",11,12,91.6666666666667
"well-being","self","FP036",9,12,75
"well-being","self","FP037",6,12,50
"well-being","self","FP038",9,12,75
"well-being","self","FP039",12,12,100
"well-being","self","FP040",12,12,100
"well-being","self","FP041",11,12,91.6666666666667
"well-being","self","FP042",11,12,91.6666666666667
"well-being","self","FP043",9,12,75
"well-being","self","FP044",12,12,100
"well-being","self","FP045",11,12,91.6666666666667
"well-being","self","FP046",6,12,50
"well-being","self","FP047",11,12,91.6666666666667
"well-being","self","FP048",12,12,100
"well-being","self","FP049",10,12,83.3333333333333
"well-being","self","FP050",9,12,75
"well-being","self","FP051",9,12,75
"well-being","self","FP052",10,12,83.3333333333333
"well-being","self","FP053",12,12,100
"well-being","self","FP054",9,12,75
"well-being","self","FP055",12,12,100
"well-being","self","FP056",12,12,100
"well-being","self","FP058",7,12,58.3333333333333
"well-being","self","FP059",12,12,100
"well-being","self","FP060",12,12,100
"well-being","self","FP061",11,12,91.6666666666667
"well-being","self","FP062",12,12,100
"well-being","self","FP063",9,12,75
"well-being","self","FP064",10,12,83.3333333333333
"well-being","self","FP065",11,12,91.6666666666667
"well-being","self","FP066",12,12,100
"well-being","self","FP067",6,6,100
"well-being","self","FP068",12,12,100
"well-being","self","FP069",11,12,91.6666666666667
"well-being","self","FP070",11,12,91.6666666666667
"well-being","self","FP071",11,12,91.6666666666667
"well-being","self","FP072",12,12,100
"well-being","self","FP074",12,12,100
"well-being","self","FP075",7,12,58.3333333333333
"well-being","self","FP076",10,12,83.3333333333333
"well-being","self","FP077",11,12,91.6666666666667
"well-being","self","FP078",11,12,91.6666666666667
"well-being","self","FP079",10,12,83.3333333333333
"well-being","self","FP080",0,12,0
"well-being","self","FP081",9,12,75
"well-being","self","FP082",11,12,91.6666666666667
"well-being","self","FP084",10,12,83.3333333333333
"well-being","self","FP085",12,12,100
"well-being","self","FP086",7,12,58.3333333333333
"well-being","self","FP087",10,12,83.3333333333333
"well-being","self","FP088",9,12,75
"well-being","self","FP089",11,12,91.6666666666667
"well-being","self","FP090",12,12,100
"well-being","self","FP091",8,12,66.6666666666667
"well-being","self","FP092",12,12,100
"well-being","self","FP093",12,12,100
"well-being","self","FP094",12,12,100
"well-being","self","FP095",11,12,91.6666666666667
"well-being","self","FP096",8,12,66.6666666666667
"well-being","self","FP097",5,12,41.6666666666667
"well-being","self","FP098",11,12,91.6666666666667
"well-being","self","FP100",9,12,75
"well-being","self","FP101",12,12,100
"well-being","self","FP102",6,12,50
"well-being","self","FP103",12,12,100
"well-being","self","FP104",12,12,100
"well-being","self","FP106",11,12,91.6666666666667
"well-being","self","FP107",12,12,100
"well-being","self","FP109",11,12,91.6666666666667
"well-being","self","FP110",12,12,100
"well-being","self","FP111",12,12,100
"well-being","self","FP112",12,12,100
"well-being","self","FP113",8,12,66.6666666666667
"well-being","self","FP114",6,6,100
"well-being","self","FP115",11,12,91.6666666666667
"well-being","self","FP119",12,12,100
"well-being","self","FP120",12,12,100
"well-being","self","FP121",5,12,41.6666666666667
"well-being","self","FP122",12,12,100
