"subjectID","wave","task","run","volume","trash"
"FP001",1,"SVC",2,87,1
"FP001",1,"SVC",2,88,1
"FP001",1,"SVC",2,118,1
"FP001",1,"SVC",2,119,1
"FP001",1,"SVC",2,122,1
"FP005",1,"SVC",1,26,1
"FP005",1,"SVC",1,45,1
"FP005",1,"SVC",1,46,1
"FP005",1,"SVC",1,114,1
"FP005",1,"SVC",1,115,1
"FP005",1,"SVC",2,19,1
"FP005",1,"SVC",2,28,1
"FP005",1,"SVC",2,45,1
"FP005",1,"SVC",2,53,1
"FP005",1,"SVC",2,54,1
"FP005",1,"SVC",2,71,1
"FP005",1,"SVC",2,77,1
"FP005",1,"SVC",2,78,1
"FP005",1,"SVC",2,79,1
"FP005",1,"SVC",2,84,1
"FP005",1,"SVC",2,85,1
"FP005",1,"SVC",2,86,1
"FP005",1,"SVC",2,94,1
"FP005",1,"SVC",2,118,1
"FP005",1,"SVC",2,119,1
"FP007",1,"SVC",2,80,1
"FP008",1,"SVC",1,62,1
"FP009",1,"SVC",2,90,1
"FP009",1,"SVC",2,118,1
"FP012",1,"SVC",2,43,1
"FP012",1,"SVC",2,44,1
"FP013",1,"SVC",1,28,1
"FP013",1,"SVC",1,39,1
"FP013",1,"SVC",1,68,1
"FP013",1,"SVC",1,69,1
"FP013",1,"SVC",1,102,1
"FP013",1,"SVC",1,103,1
"FP013",1,"SVC",1,104,1
"FP013",1,"SVC",1,112,1
"FP013",1,"SVC",1,113,1
"FP013",1,"SVC",2,10,1
"FP013",1,"SVC",2,16,1
"FP013",1,"SVC",2,17,1
"FP013",1,"SVC",2,18,1
"FP013",1,"SVC",2,19,1
"FP013",1,"SVC",2,20,1
"FP013",1,"SVC",2,21,1
"FP013",1,"SVC",2,22,1
"FP013",1,"SVC",2,68,1
"FP013",1,"SVC",2,69,1
"FP014",1,"SVC",2,42,1
"FP017",1,"SVC",2,35,1
"FP018",1,"SVC",1,115,1
"FP018",1,"SVC",1,116,1
"FP018",1,"SVC",2,2,1
"FP018",1,"SVC",2,3,1
"FP018",1,"SVC",2,4,1
"FP018",1,"SVC",2,15,1
"FP018",1,"SVC",2,16,1
"FP018",1,"SVC",2,85,1
"FP018",1,"SVC",2,104,1
"FP018",1,"SVC",2,105,1
"FP018",1,"SVC",2,106,1
"FP018",1,"SVC",2,114,1
"FP018",1,"SVC",2,115,1
"FP019",1,"SVC",2,63,1
"FP019",1,"SVC",2,64,1
"FP019",1,"SVC",2,65,1
"FP019",1,"SVC",2,119,1
"FP019",1,"SVC",2,120,1
"FP023",1,"SVC",1,38,1
"FP023",1,"SVC",1,39,1
"FP025",1,"SVC",2,6,1
"FP025",1,"SVC",2,8,1
"FP025",1,"SVC",2,9,1
"FP025",1,"SVC",2,10,1
"FP026",1,"SVC",2,104,1
"FP026",1,"SVC",2,105,1
"FP026",1,"SVC",2,106,1
"FP026",1,"SVC",2,107,1
"FP027",1,"SVC",1,42,1
"FP027",1,"SVC",1,43,1
"FP027",1,"SVC",1,103,1
"FP027",1,"SVC",2,64,1
"FP027",1,"SVC",2,65,1
"FP028",1,"SVC",1,2,1
"FP028",1,"SVC",1,22,1
"FP028",1,"SVC",1,23,1
"FP028",1,"SVC",1,24,1
"FP028",1,"SVC",1,59,1
"FP028",1,"SVC",1,60,1
"FP028",1,"SVC",1,61,1
"FP028",1,"SVC",2,19,1
"FP028",1,"SVC",2,20,1
"FP028",1,"SVC",2,52,1
"FP028",1,"SVC",2,53,1
"FP028",1,"SVC",2,54,1
"FP028",1,"SVC",2,55,1
"FP028",1,"SVC",2,77,1
"FP028",1,"SVC",2,78,1
"FP028",1,"SVC",2,86,1
"FP028",1,"SVC",2,87,1
"FP028",1,"SVC",2,93,1
"FP028",1,"SVC",2,94,1
"FP028",1,"SVC",2,95,1
"FP028",1,"SVC",2,96,1
"FP028",1,"SVC",2,97,1
"FP028",1,"SVC",2,98,1
"FP028",1,"SVC",2,103,1
"FP028",1,"SVC",2,104,1
"FP029",1,"SVC",1,82,1
"FP029",1,"SVC",1,83,1
"FP029",1,"SVC",1,84,1
"FP029",1,"SVC",1,85,1
"FP029",1,"SVC",2,25,1
"FP029",1,"SVC",2,26,1
"FP029",1,"SVC",2,27,1
"FP029",1,"SVC",2,50,1
"FP029",1,"SVC",2,51,1
"FP029",1,"SVC",2,81,1
"FP029",1,"SVC",2,82,1
"FP029",1,"SVC",2,83,1
"FP030",1,"SVC",1,21,1
"FP030",1,"SVC",1,118,1
"FP030",1,"SVC",1,119,1
"FP030",1,"SVC",2,117,1
"FP030",1,"SVC",2,118,1
"FP031",1,"SVC",1,13,1
"FP031",1,"SVC",1,102,1
"FP031",1,"SVC",1,103,1
"FP031",1,"SVC",1,104,1
"FP031",1,"SVC",2,58,1
"FP031",1,"SVC",2,62,1
"FP038",1,"SVC",1,117,1
"FP038",1,"SVC",1,118,1
"FP038",1,"SVC",1,119,1
"FP038",1,"SVC",2,74,1
"FP038",1,"SVC",2,75,1
"FP038",1,"SVC",2,77,1
"FP038",1,"SVC",2,108,1
"FP041",1,"SVC",2,82,1
"FP041",1,"SVC",2,83,1
"FP045",1,"SVC",1,54,1
"FP045",1,"SVC",1,55,1
"FP045",1,"SVC",2,120,1
"FP045",1,"SVC",2,121,1
"FP049",1,"SVC",1,20,1
"FP049",1,"SVC",2,63,1
"FP049",1,"SVC",2,64,1
"FP049",1,"SVC",2,113,1
"FP049",1,"SVC",2,114,1
"FP049",1,"SVC",2,122,1
"FP050",1,"SVC",1,23,1
"FP050",1,"SVC",1,24,1
"FP050",1,"SVC",1,30,1
"FP050",1,"SVC",1,42,1
"FP050",1,"SVC",1,43,1
"FP050",1,"SVC",1,44,1
"FP050",1,"SVC",2,41,1
"FP050",1,"SVC",2,42,1
"FP050",1,"SVC",2,80,1
"FP052",1,"SVC",1,43,1
"FP054",1,"SVC",1,64,1
"FP054",1,"SVC",1,65,1
"FP054",1,"SVC",1,66,1
"FP055",1,"SVC",1,54,1
"FP055",1,"SVC",1,55,1
"FP055",1,"SVC",2,78,1
"FP056",1,"SVC",1,2,1
"FP056",1,"SVC",1,3,1
"FP058",1,"SVC",1,85,1
"FP058",1,"SVC",1,86,1
"FP059",1,"SVC",2,23,1
"FP059",1,"SVC",2,24,1
"FP059",1,"SVC",2,56,1
"FP059",1,"SVC",2,57,1
"FP059",1,"SVC",2,58,1
"FP059",1,"SVC",2,81,1
"FP059",1,"SVC",2,82,1
"FP060",1,"SVC",1,23,1
"FP060",1,"SVC",1,24,1
"FP060",1,"SVC",1,35,1
"FP060",1,"SVC",1,36,1
"FP060",1,"SVC",1,119,1
"FP060",1,"SVC",1,122,1
"FP060",1,"SVC",2,28,1
"FP060",1,"SVC",2,29,1
"FP060",1,"SVC",2,30,1
"FP060",1,"SVC",2,39,1
"FP060",1,"SVC",2,40,1
"FP060",1,"SVC",2,41,1
"FP060",1,"SVC",2,64,1
"FP060",1,"SVC",2,65,1
"FP060",1,"SVC",2,66,1
"FP060",1,"SVC",2,67,1
"FP061",1,"SVC",1,119,1
"FP067",1,"SVC",1,26,1
"FP068",1,"SVC",1,90,1
"FP068",1,"SVC",1,91,1
"FP068",1,"SVC",1,115,1
"FP068",1,"SVC",2,85,1
"FP068",1,"SVC",2,86,1
"FP068",1,"SVC",2,87,1
"FP068",1,"SVC",2,99,1
"FP068",1,"SVC",2,100,1
"FP068",1,"SVC",2,101,1
"FP068",1,"SVC",2,122,1
"FP071",1,"SVC",2,2,1
"FP071",1,"SVC",2,54,1
"FP071",1,"SVC",2,55,1
"FP071",1,"SVC",2,56,1
"FP071",1,"SVC",2,77,1
"FP071",1,"SVC",2,102,1
"FP071",1,"SVC",2,103,1
"FP072",1,"SVC",1,21,1
"FP072",1,"SVC",1,22,1
"FP072",1,"SVC",1,55,1
"FP072",1,"SVC",1,75,1
"FP072",1,"SVC",1,101,1
"FP072",1,"SVC",1,102,1
"FP075",1,"SVC",2,92,1
"FP075",1,"SVC",2,93,1
"FP075",1,"SVC",2,94,1
"FP075",1,"SVC",2,95,1
"FP075",1,"SVC",2,96,1
"FP075",1,"SVC",2,97,1
"FP075",1,"SVC",2,98,1
"FP075",1,"SVC",2,111,1
"FP075",1,"SVC",2,112,1
"FP075",1,"SVC",2,113,1
"FP079",1,"SVC",1,31,1
"FP079",1,"SVC",1,32,1
"FP079",1,"SVC",1,33,1
"FP079",1,"SVC",1,62,1
"FP079",1,"SVC",1,63,1
"FP079",1,"SVC",2,73,1
"FP080",1,"SVC",1,73,1
"FP080",1,"SVC",1,74,1
"FP080",1,"SVC",1,75,1
"FP080",1,"SVC",1,81,1
"FP080",1,"SVC",1,82,1
"FP080",1,"SVC",1,83,1
"FP084",1,"SVC",1,65,1
"FP084",1,"SVC",1,66,1
"FP085",1,"SVC",1,35,1
"FP085",1,"SVC",1,36,1
"FP085",1,"SVC",1,82,1
"FP085",1,"SVC",1,83,1
"FP085",1,"SVC",2,14,1
"FP085",1,"SVC",2,15,1
"FP085",1,"SVC",2,54,1
"FP085",1,"SVC",2,55,1
"FP085",1,"SVC",2,56,1
"FP085",1,"SVC",2,84,1
"FP086",1,"SVC",1,91,1
"FP086",1,"SVC",1,92,1
"FP086",1,"SVC",1,108,1
"FP086",1,"SVC",1,109,1
"FP086",1,"SVC",2,38,1
"FP086",1,"SVC",2,39,1
"FP086",1,"SVC",2,40,1
"FP086",1,"SVC",2,73,1
"FP086",1,"SVC",2,74,1
"FP086",1,"SVC",2,81,1
"FP086",1,"SVC",2,82,1
"FP086",1,"SVC",2,83,1
"FP087",1,"SVC",2,114,1
"FP087",1,"SVC",2,115,1
"FP088",1,"SVC",2,38,1
"FP088",1,"SVC",2,39,1
"FP088",1,"SVC",2,45,1
"FP088",1,"SVC",2,46,1
"FP088",1,"SVC",2,66,1
"FP088",1,"SVC",2,74,1
"FP088",1,"SVC",2,75,1
"FP088",1,"SVC",2,76,1
"FP088",1,"SVC",2,77,1
"FP088",1,"SVC",2,80,1
"FP088",1,"SVC",2,81,1
"FP088",1,"SVC",2,82,1
"FP088",1,"SVC",2,83,1
"FP089",1,"SVC",1,33,1
"FP089",1,"SVC",1,34,1
"FP089",1,"SVC",1,35,1
"FP089",1,"SVC",1,36,1
"FP089",1,"SVC",1,42,1
"FP089",1,"SVC",1,47,1
"FP089",1,"SVC",1,48,1
"FP089",1,"SVC",1,54,1
"FP089",1,"SVC",1,55,1
"FP089",1,"SVC",1,58,1
"FP089",1,"SVC",1,72,1
"FP089",1,"SVC",1,96,1
"FP089",1,"SVC",1,97,1
"FP089",1,"SVC",1,98,1
"FP089",1,"SVC",2,37,1
"FP089",1,"SVC",2,38,1
"FP089",1,"SVC",2,39,1
"FP089",1,"SVC",2,40,1
"FP089",1,"SVC",2,41,1
"FP089",1,"SVC",2,76,1
"FP089",1,"SVC",2,77,1
"FP089",1,"SVC",2,118,1
"FP089",1,"SVC",2,119,1
"FP091",1,"SVC",1,48,1
"FP091",1,"SVC",1,83,1
"FP091",1,"SVC",1,86,1
"FP091",1,"SVC",1,87,1
"FP091",1,"SVC",1,90,1
"FP091",1,"SVC",1,91,1
"FP091",1,"SVC",1,92,1
"FP091",1,"SVC",1,96,1
"FP091",1,"SVC",1,99,1
"FP091",1,"SVC",1,100,1
"FP091",1,"SVC",2,23,1
"FP091",1,"SVC",2,26,1
"FP091",1,"SVC",2,35,1
"FP091",1,"SVC",2,36,1
"FP091",1,"SVC",2,40,1
"FP091",1,"SVC",2,46,1
"FP091",1,"SVC",2,50,1
"FP091",1,"SVC",2,51,1
"FP091",1,"SVC",2,58,1
"FP091",1,"SVC",2,65,1
"FP091",1,"SVC",2,77,1
"FP091",1,"SVC",2,89,1
"FP091",1,"SVC",2,90,1
"FP091",1,"SVC",2,93,1
"FP091",1,"SVC",2,94,1
"FP091",1,"SVC",2,96,1
"FP091",1,"SVC",2,101,1
"FP091",1,"SVC",2,102,1
"FP091",1,"SVC",2,105,1
"FP091",1,"SVC",2,106,1
"FP091",1,"SVC",2,107,1
"FP091",1,"SVC",2,108,1
"FP091",1,"SVC",2,109,1
"FP091",1,"SVC",2,110,1
"FP091",1,"SVC",2,114,1
"FP091",1,"SVC",2,115,1
"FP091",1,"SVC",2,116,1
"FP091",1,"SVC",2,118,1
"FP092",1,"SVC",1,78,1
"FP092",1,"SVC",1,79,1
"FP093",1,"SVC",1,87,1
"FP093",1,"SVC",1,88,1
"FP093",1,"SVC",1,89,1
"FP095",1,"SVC",1,27,1
"FP096",1,"SVC",1,17,1
"FP096",1,"SVC",1,18,1
"FP096",1,"SVC",1,84,1
"FP096",1,"SVC",1,85,1
"FP103",1,"SVC",1,42,1
"FP103",1,"SVC",1,54,1
"FP103",1,"SVC",1,55,1
"FP103",1,"SVC",1,56,1
"FP103",1,"SVC",1,57,1
"FP103",1,"SVC",1,64,1
"FP103",1,"SVC",1,65,1
"FP103",1,"SVC",1,66,1
"FP103",1,"SVC",1,73,1
"FP103",1,"SVC",1,74,1
"FP103",1,"SVC",1,75,1
"FP103",1,"SVC",2,107,1
"FP106",1,"SVC",1,10,1
"FP106",1,"SVC",1,11,1
"FP106",1,"SVC",1,18,1
"FP106",1,"SVC",1,19,1
"FP106",1,"SVC",1,20,1
"FP106",1,"SVC",1,77,1
"FP106",1,"SVC",1,78,1
"FP106",1,"SVC",1,79,1
"FP106",1,"SVC",2,2,1
"FP106",1,"SVC",2,10,1
"FP106",1,"SVC",2,11,1
"FP106",1,"SVC",2,39,1
"FP106",1,"SVC",2,40,1
"FP106",1,"SVC",2,41,1
"FP106",1,"SVC",2,42,1
"FP106",1,"SVC",2,51,1
"FP106",1,"SVC",2,52,1
"FP106",1,"SVC",2,53,1
"FP106",1,"SVC",2,54,1
"FP106",1,"SVC",2,68,1
"FP106",1,"SVC",2,69,1
"FP106",1,"SVC",2,70,1
"FP106",1,"SVC",2,71,1
"FP106",1,"SVC",2,76,1
"FP106",1,"SVC",2,87,1
"FP106",1,"SVC",2,88,1
"FP106",1,"SVC",2,95,1
"FP106",1,"SVC",2,96,1
"FP106",1,"SVC",2,121,1
"FP106",1,"SVC",2,122,1
"FP114",1,"SVC",1,56,1
"FP114",1,"SVC",1,57,1
"FP114",1,"SVC",1,60,1
"FP114",1,"SVC",1,61,1
"FP122",1,"SVC",1,57,1
"FP122",1,"SVC",1,59,1
"FP122",1,"SVC",2,2,1
